order_id,customer_id,employee_id,order_date
1,32,9,2025-04-11
2,95,15,2025-04-26
3,97,2,2025-01-21
4,42,7,2025-11-10
5,8,10,2025-03-27
6,77,10,2025-10-28
7,31,6,2025-12-08
8,62,12,2025-08-23
9,76,10,2025-08-01
10,92,14,2025-08-12
11,39,7,2025-08-17
12,91,6,2025-12-18
13,91,8,2025-05-05
14,28,10,2025-04-24
15,76,6,2025-05-02
16,67,8,2025-11-10
17,49,5,2025-12-13
18,21,8,2025-11-23
19,34,1,2025-04-25
20,47,12,2025-11-03
21,96,4,2025-12-04
22,16,4,2025-10-06
23,51,7,2025-04-06
24,85,2,2025-08-06
25,47,1,2025-05-04
26,20,2,2025-05-10
27,80,1,2025-09-03
28,56,5,2025-06-12
29,71,9,2025-02-12
30,60,1,2025-11-24
31,24,15,2025-03-30
32,72,9,2025-08-09
33,75,1,2025-09-29
34,96,5,2025-09-25
35,64,7,2025-09-07
36,95,10,2025-08-28
37,44,8,2025-11-03
38,95,5,2025-03-11
39,48,4,2025-05-11
40,28,5,2025-02-24
41,36,9,2025-10-10
42,59,2,2025-10-28
43,38,15,2025-08-18
44,94,9,2025-11-27
45,35,6,2025-05-11
46,37,9,2025-08-03
47,80,13,2025-11-04
48,70,3,2025-10-26
49,81,12,2025-03-09
50,11,6,2025-06-11
51,15,15,2025-03-23
52,5,10,2025-04-28
53,95,3,2025-05-14
54,37,11,2025-01-26
55,50,10,2025-02-05
56,13,11,2025-01-05
57,22,10,2025-09-06
58,99,2,2025-02-11
59,45,6,2025-07-20
60,49,13,2025-04-22
61,92,12,2025-07-05
62,97,12,2025-12-04
63,1,13,2025-09-29
64,84,11,2025-04-01
65,27,7,2025-08-03
66,64,7,2025-01-30
67,67,13,2025-04-25
68,100,11,2025-01-11
69,34,5,2025-05-22
70,59,10,2025-05-21
71,13,10,2025-04-21
72,39,14,2025-03-11
73,84,9,2025-07-02
74,68,14,2025-05-27
75,10,3,2025-04-07
76,29,7,2025-02-19
77,86,2,2025-08-14
78,87,13,2025-05-14
79,66,11,2025-08-01
80,35,7,2025-11-16
81,67,13,2025-08-08
82,67,14,2025-05-13
83,4,2,2025-10-03
84,100,11,2025-07-18
85,5,2,2025-08-04
86,55,14,2025-05-08
87,73,14,2025-08-03
88,90,12,2025-02-27
89,79,4,2025-01-09
90,63,12,2025-02-12
91,49,11,2025-10-07
92,87,7,2025-11-25
93,78,5,2025-11-08
94,100,12,2025-01-21
95,9,8,2025-06-12
96,16,12,2025-09-22
97,34,9,2025-09-06
98,80,2,2025-04-06
99,100,10,2025-02-16
100,70,9,2025-04-20
101,42,14,2025-04-19
102,54,2,2025-07-31
103,5,10,2025-04-29
104,23,2,2025-10-20
105,2,7,2025-06-09
106,69,2,2025-04-20
107,100,7,2025-03-09
108,2,5,2025-02-17
109,71,2,2025-03-26
110,34,3,2025-05-21
111,97,3,2025-03-04
112,88,12,2025-06-01
113,71,3,2025-02-17
114,3,13,2025-01-24
115,78,10,2025-04-30
116,15,11,2025-03-11
117,12,15,2025-10-17
118,80,2,2025-02-04
119,99,2,2025-07-06
120,93,12,2025-10-20
121,64,2,2025-02-16
122,75,5,2025-09-06
123,87,5,2025-03-03
124,90,4,2025-05-08
125,64,14,2025-04-22
126,6,10,2025-08-20
127,71,7,2025-12-18
128,7,6,2025-10-16
129,36,1,2025-05-27
130,22,14,2025-01-10
131,52,8,2025-12-19
132,4,4,2025-03-15
133,99,11,2025-04-14
134,25,12,2025-02-22
135,10,1,2025-10-19
136,45,4,2025-07-28
137,65,9,2025-11-29
138,86,3,2025-04-03
139,16,13,2025-06-18
140,50,11,2025-05-23
141,99,10,2025-11-20
142,9,8,2025-06-25
143,50,2,2025-06-21
144,5,3,2025-03-13
145,8,10,2025-02-20
146,58,2,2025-12-12
147,47,11,2025-06-21
148,69,14,2025-10-14
149,70,13,2025-01-01
150,84,5,2025-04-30
151,69,12,2025-03-17
152,24,11,2025-10-08
153,61,7,2025-01-02
154,51,3,2025-10-29
155,62,1,2025-07-02
156,39,6,2025-08-06
157,25,8,2025-11-20
158,48,6,2025-06-05
159,55,6,2025-02-10
160,55,1,2025-04-03
161,45,14,2025-02-01
162,66,2,2025-10-03
163,59,3,2025-01-27
164,26,2,2025-05-16
165,34,15,2025-01-23
166,27,4,2025-01-03
167,1,9,2025-01-26
168,14,4,2025-10-03
169,25,11,2025-08-01
170,88,1,2025-10-08
171,20,5,2025-05-09
172,20,8,2025-10-09
173,24,15,2025-10-22
174,43,4,2025-01-24
175,61,9,2025-09-09
176,64,12,2025-10-06
177,13,4,2025-11-03
178,92,11,2025-11-06
179,60,9,2025-05-19
180,62,2,2025-02-28
181,7,1,2025-02-23
182,88,6,2025-06-22
183,36,1,2025-08-04
184,45,2,2025-10-26
185,72,1,2025-08-30
186,92,4,2025-04-25
187,67,1,2025-04-25
188,48,10,2025-06-07
189,1,12,2025-08-13
190,38,3,2025-07-18
191,99,11,2025-09-06
192,7,8,2025-08-05
193,52,6,2025-07-06
194,13,5,2025-01-26
195,41,4,2025-12-09
196,98,7,2025-08-30
197,17,7,2025-06-11
198,13,6,2025-05-20
199,72,4,2025-03-05
200,92,4,2025-12-29
201,64,11,2025-02-08
202,78,4,2025-12-20
203,48,10,2025-04-12
204,55,11,2025-07-03
205,39,3,2025-04-27
206,53,2,2025-05-26
207,99,2,2025-03-03
208,11,5,2025-08-29
209,54,1,2025-01-06
210,85,10,2025-05-17
211,10,15,2025-05-01
212,61,14,2025-12-07
213,12,12,2025-01-30
214,42,13,2025-04-28
215,79,13,2025-12-07
216,78,11,2025-02-11
217,93,12,2025-09-24
218,44,7,2025-01-13
219,58,15,2025-04-29
220,89,9,2025-09-02
221,93,15,2025-12-25
222,60,9,2025-09-20
223,21,3,2025-01-24
224,91,5,2025-01-15
225,54,6,2025-07-08
226,27,15,2025-05-29
227,49,8,2025-07-04
228,56,15,2025-08-05
229,65,6,2025-09-19
230,13,5,2025-03-06
231,100,4,2025-07-28
232,87,15,2025-11-25
233,63,10,2025-06-08
234,88,10,2025-02-06
235,3,2,2025-05-20
236,40,14,2025-05-19
237,2,10,2025-01-26
238,23,9,2025-12-09
239,67,1,2025-07-25
240,70,15,2025-06-08
241,61,9,2025-03-05
242,39,4,2025-09-28
243,31,10,2025-07-25
244,20,3,2025-12-05
245,77,2,2025-03-06
246,90,13,2025-06-04
247,55,7,2025-10-20
248,46,14,2025-01-24
249,16,6,2025-07-15
250,47,15,2025-08-20
251,28,12,2025-04-18
252,64,5,2025-12-31
253,29,14,2025-02-19
254,43,5,2025-07-20
255,82,4,2025-07-21
256,64,1,2025-09-28
257,55,9,2025-01-19
258,21,1,2025-11-24
259,34,4,2025-03-07
260,65,5,2025-04-13
261,95,15,2025-11-22
262,17,2,2025-11-05
263,25,6,2025-07-07
264,99,12,2025-08-04
265,7,15,2025-03-19
266,44,1,2025-03-09
267,39,8,2025-02-07
268,51,3,2025-01-29
269,62,14,2025-03-20
270,12,3,2025-10-04
271,61,8,2025-09-05
272,72,7,2025-09-11
273,22,9,2025-12-11
274,73,8,2025-10-15
275,31,6,2025-08-18
276,39,9,2025-02-05
277,97,2,2025-10-05
278,64,10,2025-10-22
279,87,8,2025-07-29
280,82,8,2025-04-16
281,59,8,2025-01-15
282,40,3,2025-06-28
283,45,1,2025-01-19
284,51,14,2025-06-22
285,59,5,2025-04-21
286,9,14,2025-09-06
287,61,4,2025-06-21
288,97,1,2025-02-18
289,11,13,2025-10-29
290,71,13,2025-05-26
291,93,2,2025-05-02
292,42,4,2025-09-09
293,52,11,2025-11-15
294,30,5,2025-08-06
295,90,12,2025-02-23
296,72,8,2025-09-28
297,27,10,2025-09-30
298,21,15,2025-12-04
299,47,6,2025-11-13
300,83,8,2025-05-05
301,11,11,2025-04-06
302,97,3,2025-08-04
303,57,11,2025-01-06
304,20,13,2025-09-15
305,91,7,2025-05-17
306,23,15,2025-05-21
307,97,1,2025-08-05
308,34,3,2025-04-01
309,38,3,2025-04-23
310,17,5,2025-08-29
311,27,15,2025-01-15
312,56,7,2025-02-01
313,85,9,2025-04-14
314,69,12,2025-05-06
315,98,11,2025-01-26
316,41,13,2025-10-30
317,50,13,2025-12-14
318,60,9,2025-05-26
319,58,8,2025-04-18
320,19,14,2025-02-04
321,19,12,2025-09-18
322,88,11,2025-07-30
323,62,2,2025-03-26
324,94,9,2025-02-19
325,61,10,2025-07-20
326,26,5,2025-04-20
327,34,5,2025-08-10
328,31,3,2025-10-02
329,9,15,2025-06-01
330,38,11,2025-10-21
331,81,3,2025-11-01
332,30,12,2025-07-02
333,33,12,2025-05-18
334,59,6,2025-07-28
335,39,9,2025-06-27
336,26,13,2025-05-08
337,97,13,2025-10-20
338,97,9,2025-01-10
339,54,15,2025-01-18
340,60,13,2025-05-19
341,59,9,2025-11-03
342,2,4,2025-03-07
343,82,11,2025-06-06
344,33,8,2025-06-11
345,82,13,2025-07-26
346,67,6,2025-04-16
347,27,4,2025-01-05
348,56,9,2025-03-09
349,68,2,2025-03-06
350,96,10,2025-04-03
351,25,4,2025-05-07
352,21,14,2025-06-30
353,23,4,2025-12-24
354,61,12,2025-07-12
355,30,2,2025-05-07
356,78,6,2025-02-16
357,2,2,2025-05-26
358,57,13,2025-08-05
359,12,2,2025-02-02
360,7,5,2025-01-01
361,34,12,2025-08-26
362,10,5,2025-11-09
363,90,4,2025-07-02
364,73,5,2025-10-28
365,65,13,2025-02-04
366,44,14,2025-02-18
367,65,5,2025-05-31
368,55,7,2025-06-16
369,91,12,2025-09-08
370,41,11,2025-08-22
371,30,11,2025-03-25
372,80,15,2025-02-01
373,84,13,2025-05-21
374,87,3,2025-01-11
375,87,13,2025-07-31
376,33,1,2025-11-06
377,56,5,2025-05-31
378,42,15,2025-07-11
379,81,5,2025-05-18
380,83,10,2025-06-22
381,100,13,2025-11-19
382,80,6,2025-06-23
383,70,12,2025-09-16
384,96,4,2025-02-18
385,41,14,2025-10-16
386,3,14,2025-12-31
387,17,5,2025-09-10
388,28,11,2025-07-21
389,74,1,2025-02-23
390,28,9,2025-07-16
391,28,5,2025-11-30
392,14,11,2025-09-18
393,20,14,2025-09-21
394,43,5,2025-05-14
395,17,10,2025-11-28
396,77,3,2025-07-24
397,53,10,2025-05-25
398,67,2,2025-03-19
399,71,13,2025-07-24
400,4,7,2025-06-06
401,97,4,2025-09-10
402,90,5,2025-01-14
403,93,10,2025-02-10
404,58,3,2025-06-24
405,64,13,2025-09-23
406,50,11,2025-01-10
407,87,2,2025-08-31
408,8,1,2025-07-08
409,35,9,2025-04-05
410,55,11,2025-06-14
411,64,5,2025-04-04
412,3,13,2025-07-11
413,13,14,2025-11-26
414,10,2,2025-09-17
415,5,4,2025-04-16
416,24,9,2025-02-18
417,62,3,2025-06-04
418,23,1,2025-11-03
419,26,8,2025-02-25
420,85,12,2025-02-07
421,1,5,2025-05-17
422,55,14,2025-01-03
423,37,7,2025-07-09
424,41,2,2025-01-08
425,31,2,2025-10-21
426,87,15,2025-10-10
427,50,7,2025-03-23
428,63,5,2025-04-30
429,2,4,2025-10-10
430,64,2,2025-10-02
431,43,7,2025-03-12
432,77,15,2025-09-04
433,14,2,2025-05-30
434,15,12,2025-05-01
435,22,15,2025-12-16
436,23,4,2025-08-27
437,92,14,2025-09-20
438,90,3,2025-09-02
439,97,3,2025-02-28
440,33,1,2025-12-03
441,80,7,2025-09-15
442,16,14,2025-04-11
443,97,2,2025-10-03
444,69,2,2025-05-27
445,21,2,2025-12-01
446,46,4,2025-05-17
447,78,1,2025-07-18
448,91,1,2025-01-22
449,65,14,2025-12-04
450,7,7,2025-04-20
451,48,5,2025-01-27
452,40,1,2025-11-28
453,77,7,2025-02-26
454,68,5,2025-08-26
455,92,1,2025-05-02
456,50,8,2025-06-15
457,88,4,2025-12-04
458,38,12,2025-04-30
459,61,3,2025-11-21
460,7,5,2025-05-18
461,91,13,2025-09-12
462,56,13,2025-04-22
463,88,14,2025-08-25
464,99,2,2025-09-12
465,14,5,2025-05-24
466,5,8,2025-06-02
467,83,15,2025-11-05
468,52,3,2025-03-11
469,90,7,2025-07-28
470,74,3,2025-12-27
471,96,13,2025-06-06
472,14,2,2025-06-24
473,19,10,2025-09-23
474,20,11,2025-08-13
475,16,6,2025-06-30
476,69,2,2025-08-05
477,7,9,2025-03-12
478,88,6,2025-07-06
479,35,13,2025-11-18
480,71,13,2025-05-01
481,20,6,2025-04-05
482,10,14,2025-09-23
483,57,11,2025-02-03
484,19,11,2025-09-04
485,69,10,2025-06-14
486,98,15,2025-02-22
487,32,4,2025-12-21
488,47,9,2025-09-27
489,75,14,2025-03-12
490,87,3,2025-12-17
491,28,9,2025-05-21
492,23,7,2025-08-04
493,59,2,2025-06-13
494,16,14,2025-08-10
495,83,10,2025-09-02
496,61,7,2025-09-12
497,21,1,2025-11-11
498,60,11,2025-10-28
499,84,7,2025-01-23
500,57,5,2025-01-05
