product_id,product_name,category,price,stock
1,Laptop Pro,Electronics,2210.85,133
2,Wireless Mouse,Electronics,98.9,130
3,Mechanical Keyboard,Electronics,98.66,176
4,Gaming Headset,Electronics,67.36,109
5,27 Inch Monitor,Electronics,202.19,173
6,USB-C Hub,Electronics,84.04,36
7,External SSD,Electronics,73.18,195
8,Wireless Earbuds,Electronics,46.64,141
9,Smartphone,Electronics,1389.38,42
10,Tablet,Electronics,599.68,139
11,Office Chair,Furniture,232.78,93
12,Office Desk,Furniture,245.62,174
13,Bookshelf,Furniture,282.36,89
14,Standing Desk,Furniture,276.06,184
15,Desk Lamp,Furniture,80.09,134
16,Coffee Maker,Home Appliances,57.73,129
17,Air Fryer,Home Appliances,80.34,89
18,Blender,Home Appliances,141.35,98
19,Microwave Oven,Home Appliances,182.77,81
20,Electric Kettle,Home Appliances,31.92,54
21,Backpack,Accessories,60.55,136
22,Travel Bag,Accessories,67.05,73
23,Wallet,Accessories,84.62,134
24,Watch,Accessories,420.15,137
25,Sunglasses,Accessories,54.92,134
26,Running Shoes,Sports,154.85,152
27,Football,Sports,78.87,123
28,Basketball,Sports,85.82,113
29,Yoga Mat,Sports,50.18,70
30,Fitness Tracker,Sports,168.17,76
31,Notebook,Stationery,13.39,157
32,Pen Set,Stationery,9.28,55
33,Desk Organizer,Stationery,25.6,72
34,Calculator,Stationery,49.44,63
35,Planner,Stationery,27.65,89
36,Coffee Beans,Food,10.93,57
37,Green Tea,Food,19.08,178
38,Chocolate Box,Food,9.73,144
39,Protein Bar Pack,Food,30.79,122
40,Snack Box,Food,16.34,110
41,LED Light Strip,Home Decor,62.96,162
42,Wall Clock,Home Decor,26.73,129
43,Picture Frame,Home Decor,12.39,37
44,Candle Set,Home Decor,24.19,55
45,Plant Pot,Home Decor,24.95,93
46,Bluetooth Speaker,Audio,238.07,125
47,Soundbar,Audio,251.44,200
48,Studio Microphone,Audio,364.79,144
49,Portable Radio,Audio,68.96,190
50,Noise Cancelling Headphones,Audio,428.43,177
